"timeMillisSpent","score","initialized"
770,"-1200000hard/-36135306medium/-66132000soft","true"
772,"-1200000hard/-36126306medium/-66132000soft","true"
6372,"-1200000hard/-36080742medium/-66134436soft","true"
6372,"-1200000hard/-36074742medium/-66134436soft","true"
6374,"-1200000hard/-36008742medium/-66134436soft","true"
6374,"-1200000hard/-36008264medium/-66133958soft","true"
6382,"-1200000hard/-35982126medium/-66134820soft","true"
6383,"-1200000hard/-35802126medium/-66134820soft","true"
6383,"-1200000hard/-35778126medium/-66134820soft","true"
6385,"-1200000hard/-35757126medium/-66134820soft","true"
6387,"-1200000hard/-35739126medium/-66134820soft","true"
6394,"-1200000hard/-35724126medium/-66134820soft","true"
6401,"-1200000hard/-35715126medium/-66134820soft","true"
6418,"-1200000hard/-35700126medium/-66134820soft","true"
6423,"-1200000hard/-35688126medium/-66134820soft","true"
6427,"-1200000hard/-35676126medium/-66134820soft","true"
6427,"-1200000hard/-35670126medium/-66134820soft","true"
6436,"-1200000hard/-35668704medium/-66133398soft","true"
6439,"-1200000hard/-35641704medium/-66133398soft","true"
6482,"-1200000hard/-35635704medium/-66133398soft","true"
6487,"-1200000hard/-35632704medium/-66133398soft","true"
7664,"-1200000hard/-35629720medium/-66133414soft","true"
7669,"-1200000hard/-35628306medium/-66132000soft","true"
7680,"-1200000hard/-35616306medium/-66132000soft","true"
9096,"-1200000hard/-35613784medium/-66132000soft","true"
