"timeMillisSpent","score","initialized"
1781,"-1600000hard/-63565596medium/-116127000soft","true"
1784,"-1600000hard/-63550596medium/-116127000soft","true"
1790,"-1600000hard/-63454596medium/-116127000soft","true"
1793,"-1600000hard/-63355596medium/-116127000soft","true"
1799,"-1600000hard/-63334596medium/-116127000soft","true"
1802,"-1600000hard/-63313596medium/-116127000soft","true"
1804,"-1600000hard/-63307596medium/-116127000soft","true"
1809,"-1600000hard/-63280596medium/-116127000soft","true"
1821,"-1600000hard/-63256596medium/-116127000soft","true"
1825,"-1600000hard/-63166596medium/-116127000soft","true"
1826,"-1600000hard/-63127881medium/-116127000soft","true"
1827,"-1600000hard/-63106881medium/-116127000soft","true"
1851,"-1600000hard/-63079881medium/-116127000soft","true"
1858,"-1600000hard/-63049881medium/-116127000soft","true"
1862,"-1600000hard/-63046881medium/-116127000soft","true"
1874,"-1600000hard/-63022881medium/-116127000soft","true"
1896,"-1600000hard/-63016881medium/-116127000soft","true"
1897,"-1600000hard/-62998881medium/-116127000soft","true"
1933,"-1600000hard/-62989881medium/-116127000soft","true"
1945,"-1600000hard/-62983881medium/-116127000soft","true"
1953,"-1600000hard/-62968881medium/-116127000soft","true"
1960,"-1600000hard/-62899881medium/-116127000soft","true"
1969,"-1600000hard/-62896281medium/-116127000soft","true"
1975,"-1600000hard/-62878281medium/-116127000soft","true"
1995,"-1600000hard/-62873781medium/-116127000soft","true"
1997,"-1600000hard/-62838981medium/-116127000soft","true"
2036,"-1600000hard/-62826981medium/-116127000soft","true"
2047,"-1600000hard/-62817981medium/-116127000soft","true"
2062,"-1600000hard/-62811981medium/-116127000soft","true"
2102,"-1600000hard/-62808981medium/-116127000soft","true"
2148,"-1600000hard/-62808681medium/-116127000soft","true"
2291,"-1600000hard/-62805681medium/-116127000soft","true"
2421,"-1600000hard/-62799681medium/-116127000soft","true"
2448,"-1600000hard/-62798781medium/-116127000soft","true"
2490,"-1600000hard/-62794881medium/-116127000soft","true"
2508,"-1600000hard/-62791881medium/-116127000soft","true"
2644,"-1600000hard/-62788881medium/-116127000soft","true"
2658,"-1600000hard/-62782881medium/-116127000soft","true"
2660,"-1600000hard/-62779281medium/-116127000soft","true"
2717,"-1600000hard/-62775681medium/-116127000soft","true"
2731,"-1600000hard/-62775081medium/-116127000soft","true"
2733,"-1600000hard/-62769081medium/-116127000soft","true"
2744,"-1600000hard/-62754081medium/-116127000soft","true"
2793,"-1600000hard/-62751081medium/-116127000soft","true"
2806,"-1600000hard/-62750009medium/-116127000soft","true"
2870,"-1600000hard/-62735009medium/-116127000soft","true"
2936,"-1600000hard/-62730610medium/-116128601soft","true"
2948,"-1600000hard/-62727610medium/-116128601soft","true"
3224,"-1600000hard/-62726009medium/-116127000soft","true"
3403,"-1600000hard/-62717009medium/-116127000soft","true"
3405,"-1600000hard/-62711009medium/-116127000soft","true"
3702,"-1600000hard/-62708009medium/-116127000soft","true"
3981,"-1600000hard/-62705009medium/-116127000soft","true"
6286,"-1600000hard/-62702009medium/-116127000soft","true"
