"timeMillisSpent","score","initialized"
56,"-400000hard/-14734medium/-176863soft","true"
57,"-400000hard/-12007medium/-179577soft","true"
58,"-400000hard/-11394medium/-184234soft","true"
58,"-400000hard/-10185medium/-178956soft","true"
83,"-400000hard/-8346medium/-182793soft","true"
84,"-400000hard/-7740medium/-182168soft","true"
104,"-400000hard/-7738medium/-190165soft","true"
105,"-400000hard/-6272medium/-182728soft","true"
105,"-400000hard/-4788medium/-184934soft","true"
117,"-400000hard/-4481medium/-184598soft","true"
117,"-400000hard/-3916medium/-187348soft","true"
118,"-400000hard/-3206medium/-182624soft","true"
121,"-400000hard/-2000medium/-181927soft","true"
166,"-400000hard/-391medium/-183667soft","true"
166,"-400000hard/-4medium/-184282soft","true"
293,"-400000hard/0medium/-184554soft","true"
2559,"-400000hard/0medium/-182819soft","true"
2631,"-400000hard/0medium/-181516soft","true"
3666,"-400000hard/0medium/-180540soft","true"
3812,"-400000hard/0medium/-179827soft","true"
3912,"-400000hard/0medium/-176872soft","true"
