"timeMillisSpent","score","initialized"
89,"-400000hard/-1071238medium/-3098700soft","true"
97,"-400000hard/-1065238medium/-3098700soft","true"
146,"-400000hard/-1061420medium/-3100882soft","true"
184,"-400000hard/-1059272medium/-3098734soft","true"
363,"-400000hard/-1058500medium/-3100962soft","true"
726,"-400000hard/-1057945medium/-3100407soft","true"
729,"-400000hard/-1054945medium/-3100407soft","true"
765,"-400000hard/-1054636medium/-3100098soft","true"
2899,"-400000hard/-1053981medium/-3102443soft","true"
3079,"-400000hard/-1053472medium/-3098934soft","true"
3426,"-400000hard/-1053238medium/-3098700soft","true"
3586,"-400000hard/-1053216medium/-3101678soft","true"
3718,"-400000hard/-1051949medium/-3100411soft","true"
4383,"-400000hard/-1050694medium/-3099156soft","true"
6551,"-400000hard/-1050632medium/-3099094soft","true"
7072,"-400000hard/-1050393medium/-3098855soft","true"
7309,"-400000hard/-1050238medium/-3098700soft","true"
