"timeMillisSpent","score","initialized"
252,"-800000hard/-4841267medium/-9870300soft","true"
257,"-800000hard/-4838267medium/-9870300soft","true"
4105,"-800000hard/-4829689medium/-9882722soft","true"
4105,"-800000hard/-4808689medium/-9882722soft","true"
4124,"-800000hard/-4802689medium/-9882722soft","true"
5458,"-800000hard/-4797585medium/-9871618soft","true"
6007,"-800000hard/-4795224medium/-9872257soft","true"
6506,"-800000hard/-4793267medium/-9870300soft","true"
6515,"-800000hard/-4790267medium/-9870300soft","true"
6516,"-800000hard/-4787267medium/-9870300soft","true"
6519,"-800000hard/-4784267medium/-9870300soft","true"
8307,"-800000hard/-4781929medium/-9870962soft","true"
8312,"-800000hard/-4781629medium/-9870662soft","true"
8319,"-800000hard/-4781267medium/-9870300soft","true"
8862,"-800000hard/-4779014medium/-9871047soft","true"
8883,"-800000hard/-4778484medium/-9870517soft","true"
8950,"-800000hard/-4778267medium/-9870300soft","true"
