"timeMillisSpent","score","initialized"
181,"-400000hard/-11786medium/-153618soft","true"
197,"-400000hard/-11444medium/-160305soft","true"
199,"-400000hard/-10049medium/-161273soft","true"
202,"-400000hard/-9576medium/-161616soft","true"
204,"-400000hard/-1741medium/-169447soft","true"
205,"-400000hard/-703medium/-165847soft","true"
206,"-400000hard/0medium/-165887soft","true"
208,"-400000hard/0medium/-164909soft","true"
209,"-400000hard/0medium/-158959soft","true"
209,"-400000hard/0medium/-158389soft","true"
213,"-400000hard/0medium/-149790soft","true"
219,"-400000hard/0medium/-149094soft","true"
255,"-400000hard/0medium/-148974soft","true"
256,"-400000hard/0medium/-148780soft","true"
257,"-400000hard/0medium/-148453soft","true"
258,"-400000hard/0medium/-148442soft","true"
263,"-400000hard/0medium/-148084soft","true"
266,"-400000hard/0medium/-147726soft","true"
270,"-400000hard/0medium/-145137soft","true"
306,"-400000hard/0medium/-145065soft","true"
730,"-400000hard/0medium/-143677soft","true"
