"timeMillisSpent","score","initialized"
20,"0hard/-106478soft","true"
24,"0hard/-106259soft","true"
25,"0hard/-106182soft","true"
25,"0hard/-101879soft","true"
531,"0hard/-101449soft","true"
1382,"0hard/-100648soft","true"
1382,"0hard/-100550soft","true"
2394,"0hard/-100416soft","true"
2672,"0hard/-99970soft","true"
3792,"0hard/-99798soft","true"
5165,"0hard/-99783soft","true"
5182,"0hard/-99768soft","true"
5196,"0hard/-99715soft","true"
5202,"0hard/-99704soft","true"
7439,"0hard/-99532soft","true"
7440,"0hard/-99440soft","true"
8304,"0hard/-99279soft","true"
9845,"0hard/-99226soft","true"
