"timeMillisSpent","score","initialized"
755,"-1200000hard/-36135306medium/-66132000soft","true"
759,"-1200000hard/-36126306medium/-66132000soft","true"
8235,"-1200000hard/-36123306medium/-66132000soft","true"
8235,"-1200000hard/-36072306medium/-66132000soft","true"
8239,"-1200000hard/-36045306medium/-66132000soft","true"
8245,"-1200000hard/-36039306medium/-66132000soft","true"
8246,"-1200000hard/-36009306medium/-66132000soft","true"
8247,"-1200000hard/-35922306medium/-66132000soft","true"
8251,"-1200000hard/-35859306medium/-66132000soft","true"
8254,"-1200000hard/-35817306medium/-66132000soft","true"
8255,"-1200000hard/-35778306medium/-66132000soft","true"
8264,"-1200000hard/-35766306medium/-66132000soft","true"
8267,"-1200000hard/-35742306medium/-66132000soft","true"
8286,"-1200000hard/-35685306medium/-66132000soft","true"
8289,"-1200000hard/-35670306medium/-66132000soft","true"
8326,"-1200000hard/-35661461medium/-66132155soft","true"
8360,"-1200000hard/-35661306medium/-66132000soft","true"
8416,"-1200000hard/-35658306medium/-66132000soft","true"
8429,"-1200000hard/-35649306medium/-66132000soft","true"
8431,"-1200000hard/-35646306medium/-66132000soft","true"
8459,"-1200000hard/-35643306medium/-66132000soft","true"
8470,"-1200000hard/-35640306medium/-66132000soft","true"
8484,"-1200000hard/-35631306medium/-66132000soft","true"
8489,"-1200000hard/-35628306medium/-66132000soft","true"
8514,"-1200000hard/-35625306medium/-66132000soft","true"
9871,"-1200000hard/-35624916medium/-66132488soft","true"
9990,"-1200000hard/-35621916medium/-66132488soft","true"
