"timeMillisSpent","score","initialized"
774,"-1200000hard/-35565495medium/-66132000soft","true"
784,"-1200000hard/-35556495medium/-66132000soft","true"
787,"-1200000hard/-35538495medium/-66132000soft","true"
845,"-1200000hard/-35511495medium/-66132000soft","true"
1107,"-1200000hard/-35493500medium/-66138005soft","true"
1517,"-1200000hard/-35484495medium/-66132000soft","true"
1657,"-1200000hard/-35477896medium/-66140401soft","true"
1833,"-1200000hard/-35469710medium/-66138215soft","true"
3310,"-1200000hard/-35467381medium/-66132886soft","true"
4858,"-1200000hard/-35466276medium/-66134781soft","true"
