"timeMillisSpent","score","initialized"
288,"-800000hard/-16078547medium/-30145500soft","true"
289,"-800000hard/-16039547medium/-30145500soft","true"
291,"-800000hard/-16027547medium/-30145500soft","true"
292,"-800000hard/-15961547medium/-30145500soft","true"
292,"-800000hard/-15940547medium/-30145500soft","true"
5931,"-800000hard/-15934547medium/-30145500soft","true"
5934,"-800000hard/-15916547medium/-30145500soft","true"
5937,"-800000hard/-15904547medium/-30145500soft","true"
5942,"-800000hard/-15898547medium/-30145500soft","true"
5943,"-800000hard/-15889547medium/-30145500soft","true"
5953,"-800000hard/-15868547medium/-30145500soft","true"
5967,"-800000hard/-15856547medium/-30145500soft","true"
7459,"-800000hard/-15850547medium/-30145500soft","true"
7476,"-800000hard/-15847547medium/-30145500soft","true"
7478,"-800000hard/-15844547medium/-30145500soft","true"
7507,"-800000hard/-15841547medium/-30145500soft","true"
7569,"-800000hard/-15841274medium/-30148227soft","true"
7914,"-800000hard/-15835547medium/-30145500soft","true"
7947,"-800000hard/-15832547medium/-30145500soft","true"
8038,"-800000hard/-15829547medium/-30145500soft","true"
8092,"-800000hard/-15826547medium/-30145500soft","true"
8189,"-800000hard/-15823854medium/-30145807soft","true"
8336,"-800000hard/-15820854medium/-30145807soft","true"
8579,"-800000hard/-15820604medium/-30145557soft","true"
9092,"-800000hard/-15820547medium/-30145500soft","true"
9117,"-800000hard/-15817547medium/-30145500soft","true"
