"timeMillisSpent","score","initialized"
678,"-1200000hard/-10701382medium/-20512800soft","true"
684,"-1200000hard/-10698382medium/-20512800soft","true"
685,"-1200000hard/-10695382medium/-20512800soft","true"
691,"-1200000hard/-10678962medium/-20517380soft","true"
693,"-1200000hard/-10666962medium/-20517380soft","true"
698,"-1200000hard/-10657398medium/-20519816soft","true"
705,"-1200000hard/-10655153medium/-20517571soft","true"
787,"-1200000hard/-10653382medium/-20512800soft","true"
807,"-1200000hard/-10626382medium/-20512800soft","true"
1768,"-1200000hard/-10620588medium/-20513006soft","true"
2156,"-1200000hard/-10620382medium/-20512800soft","true"
2248,"-1200000hard/-10617382medium/-20512800soft","true"
5370,"-1200000hard/-10617250medium/-20515668soft","true"
5700,"-1200000hard/-10616759medium/-20515177soft","true"
5701,"-1200000hard/-10614382medium/-20512800soft","true"
7033,"-1200000hard/-10611723medium/-20513141soft","true"
7405,"-1200000hard/-10611382medium/-20512800soft","true"
