"timeMillisSpent","score","initialized"
164,"-400000hard/-3984143medium/-8167500soft","true"
176,"-400000hard/-3972143medium/-8167500soft","true"
189,"-400000hard/-3969143medium/-8167500soft","true"
191,"-400000hard/-3963143medium/-8167500soft","true"
192,"-400000hard/-3960143medium/-8167500soft","true"
193,"-400000hard/-3957143medium/-8167500soft","true"
196,"-400000hard/-3950530medium/-8172887soft","true"
198,"-400000hard/-3945143medium/-8167500soft","true"
212,"-400000hard/-3939143medium/-8167500soft","true"
213,"-400000hard/-3936143medium/-8167500soft","true"
221,"-400000hard/-3933143medium/-8167500soft","true"
232,"-400000hard/-3930143medium/-8167500soft","true"
251,"-400000hard/-3927143medium/-8167500soft","true"
274,"-400000hard/-3921143medium/-8167500soft","true"
291,"-400000hard/-3918143medium/-8167500soft","true"
309,"-400000hard/-3915143medium/-8167500soft","true"
334,"-400000hard/-3912143medium/-8167500soft","true"
377,"-400000hard/-3909320medium/-8167677soft","true"
380,"-400000hard/-3909302medium/-8167659soft","true"
423,"-400000hard/-3906302medium/-8167659soft","true"
449,"-400000hard/-3906143medium/-8167500soft","true"
