"timeMillisSpent","score","initialized"
45,"0hard/-106478soft","true"
70,"0hard/-106259soft","true"
83,"0hard/-101418soft","true"
96,"0hard/-101273soft","true"
110,"0hard/-101043soft","true"
122,"0hard/-101019soft","true"
135,"0hard/-100947soft","true"
146,"0hard/-100603soft","true"
157,"0hard/-100140soft","true"
170,"0hard/-99899soft","true"
201,"0hard/-99295soft","true"
404,"0hard/-99291soft","true"
416,"0hard/-99286soft","true"
429,"0hard/-99236soft","true"
441,"0hard/-99183soft","true"
454,"0hard/-99160soft","true"
1238,"0hard/-99136soft","true"
1348,"0hard/-99103soft","true"
