"timeMillisSpent","score","initialized"
133,"-400000hard/-12742medium/-182021soft","true"
147,"-400000hard/-12102medium/-182049soft","true"
148,"-400000hard/-9744medium/-182015soft","true"
160,"-400000hard/-8765medium/-192339soft","true"
171,"-400000hard/-7581medium/-180625soft","true"
187,"-400000hard/-6706medium/-184890soft","true"
190,"-400000hard/-6181medium/-187247soft","true"
193,"-400000hard/-4818medium/-181334soft","true"
224,"-400000hard/-4678medium/-187179soft","true"
226,"-400000hard/-3983medium/-182093soft","true"
227,"-400000hard/-3886medium/-183368soft","true"
227,"-400000hard/-3650medium/-186870soft","true"
229,"-400000hard/-3409medium/-184173soft","true"
234,"-400000hard/-1975medium/-185684soft","true"
239,"-400000hard/-1944medium/-180542soft","true"
250,"-400000hard/-1929medium/-177193soft","true"
261,"-400000hard/-1640medium/-183440soft","true"
261,"-400000hard/-1640medium/-182308soft","true"
269,"-400000hard/-1556medium/-179637soft","true"
272,"-400000hard/-282medium/-179172soft","true"
277,"-400000hard/0medium/-173804soft","true"
479,"-400000hard/0medium/-170261soft","true"
4060,"-400000hard/0medium/-170190soft","true"
4061,"-400000hard/0medium/-168133soft","true"
