"timeMillisSpent","score","initialized"
239,"-800000hard/-84090medium/-317457soft","true"
244,"-800000hard/-82697medium/-315904soft","true"
287,"-800000hard/-82321medium/-318623soft","true"
288,"-800000hard/-82289medium/-316964soft","true"
295,"-800000hard/-78430medium/-319234soft","true"
669,"-800000hard/-78362medium/-322046soft","true"
799,"-800000hard/-78188medium/-321422soft","true"
816,"-800000hard/-77811medium/-315373soft","true"
1287,"-800000hard/-76470medium/-320676soft","true"
3214,"-800000hard/-76241medium/-317558soft","true"
3269,"-800000hard/-75511medium/-313411soft","true"
3445,"-800000hard/-73044medium/-317807soft","true"
