"timeMillisSpent","score","initialized"
283,"0hard/-118556soft","true"
314,"0hard/-118424soft","true"
330,"0hard/-118327soft","true"
491,"0hard/-118241soft","true"
542,"0hard/-118143soft","true"
1049,"0hard/-118102soft","true"
1490,"0hard/-117881soft","true"
1527,"0hard/-117835soft","true"
1584,"0hard/-117762soft","true"
1789,"0hard/-117748soft","true"
2190,"0hard/-117435soft","true"
2393,"0hard/-117417soft","true"
2865,"0hard/-117284soft","true"
4716,"0hard/-117270soft","true"
5172,"0hard/-117244soft","true"
5253,"0hard/-117239soft","true"
6094,"0hard/-117178soft","true"
6579,"0hard/-117160soft","true"
9391,"0hard/-117090soft","true"
