"timeMillisSpent","score","initialized"
1942,"-1600000hard/-63035727medium/-116127000soft","true"
1945,"-1600000hard/-63011727medium/-116127000soft","true"
1986,"-1600000hard/-62984727medium/-116127000soft","true"
2381,"-1600000hard/-62895614medium/-116130887soft","true"
2392,"-1600000hard/-62877614medium/-116130887soft","true"
3745,"-1600000hard/-62869194medium/-116128467soft","true"
3773,"-1600000hard/-62863772medium/-116129045soft","true"
4340,"-1600000hard/-62848320medium/-116128593soft","true"
4561,"-1600000hard/-62827194medium/-116128467soft","true"
4564,"-1600000hard/-62809194medium/-116128467soft","true"
4565,"-1600000hard/-62803194medium/-116128467soft","true"
