"timeMillisSpent","score","initialized"
168,"-400000hard/-3966629medium/-8167500soft","true"
190,"-400000hard/-3894629medium/-8167500soft","true"
199,"-400000hard/-3888629medium/-8167500soft","true"
201,"-400000hard/-3855269medium/-8173140soft","true"
203,"-400000hard/-3843269medium/-8173140soft","true"
204,"-400000hard/-3840269medium/-8173140soft","true"
205,"-400000hard/-3810269medium/-8173140soft","true"
207,"-400000hard/-3800540medium/-8175411soft","true"
209,"-400000hard/-3791900medium/-8169771soft","true"
211,"-400000hard/-3779900medium/-8169771soft","true"
216,"-400000hard/-3776900medium/-8169771soft","true"
225,"-400000hard/-3774629medium/-8167500soft","true"
233,"-400000hard/-3771629medium/-8167500soft","true"
257,"-400000hard/-3768629medium/-8167500soft","true"
261,"-400000hard/-3765629medium/-8167500soft","true"
269,"-400000hard/-3762629medium/-8167500soft","true"
287,"-400000hard/-3761973medium/-8169844soft","true"
309,"-400000hard/-3755973medium/-8169844soft","true"
577,"-400000hard/-3754203medium/-8168074soft","true"
1412,"-400000hard/-3753834medium/-8167705soft","true"
2999,"-400000hard/-3753629medium/-8167500soft","true"
