"timeMillisSpent","score","initialized"
16,"0hard/-90204soft","true"
30,"0hard/-90190soft","true"
40,"0hard/-90145soft","true"
46,"0hard/-90140soft","true"
64,"0hard/-90139soft","true"
68,"0hard/-90131soft","true"
95,"0hard/-90089soft","true"
95,"0hard/-90082soft","true"
108,"0hard/-89506soft","true"
280,"0hard/-89158soft","true"
284,"0hard/-86195soft","true"
284,"0hard/-86181soft","true"
1901,"0hard/-85797soft","true"
2045,"0hard/-85602soft","true"
2211,"0hard/-85526soft","true"
2267,"0hard/-85507soft","true"
2983,"0hard/-85432soft","true"
3214,"0hard/-85359soft","true"
3316,"0hard/-85341soft","true"
3341,"0hard/-85046soft","true"
3342,"0hard/-85017soft","true"
3445,"0hard/-84887soft","true"
5292,"0hard/-84879soft","true"
5308,"0hard/-84822soft","true"
5841,"0hard/-84772soft","true"
6366,"0hard/-84746soft","true"
6780,"0hard/-84742soft","true"
6892,"0hard/-84711soft","true"
7070,"0hard/-84690soft","true"
7072,"0hard/-84647soft","true"
8600,"0hard/-84632soft","true"
8601,"0hard/-84620soft","true"
8605,"0hard/-84585soft","true"
