"timeMillisSpent","score","initialized"
798,"-1200000hard/-36135306medium/-66132000soft","true"
800,"-1200000hard/-35964306medium/-66132000soft","true"
808,"-1200000hard/-35919306medium/-66132000soft","true"
813,"-1200000hard/-35913306medium/-66132000soft","true"
827,"-1200000hard/-35910306medium/-66132000soft","true"
843,"-1200000hard/-35907306medium/-66132000soft","true"
849,"-1200000hard/-35904306medium/-66132000soft","true"
856,"-1200000hard/-35892306medium/-66132000soft","true"
860,"-1200000hard/-35880306medium/-66132000soft","true"
862,"-1200000hard/-35871306medium/-66132000soft","true"
874,"-1200000hard/-35772422medium/-66132000soft","true"
884,"-1200000hard/-35760422medium/-66132000soft","true"
895,"-1200000hard/-35754422medium/-66132000soft","true"
896,"-1200000hard/-35734922medium/-66132000soft","true"
930,"-1200000hard/-35728922medium/-66132000soft","true"
932,"-1200000hard/-35722922medium/-66132000soft","true"
944,"-1200000hard/-35719922medium/-66132000soft","true"
945,"-1200000hard/-35707922medium/-66132000soft","true"
949,"-1200000hard/-35686322medium/-66132000soft","true"
957,"-1200000hard/-35683322medium/-66132000soft","true"
971,"-1200000hard/-35677322medium/-66132000soft","true"
973,"-1200000hard/-35674322medium/-66132000soft","true"
982,"-1200000hard/-35671322medium/-66132000soft","true"
1006,"-1200000hard/-35667722medium/-66132000soft","true"
1007,"-1200000hard/-35661722medium/-66132000soft","true"
1012,"-1200000hard/-35658722medium/-66132000soft","true"
1017,"-1200000hard/-35649722medium/-66132000soft","true"
1019,"-1200000hard/-35647824medium/-66132000soft","true"
1028,"-1200000hard/-35644824medium/-66132000soft","true"
1269,"-1200000hard/-35644322medium/-66132000soft","true"
1287,"-1200000hard/-35643722medium/-66132000soft","true"
1366,"-1200000hard/-35639522medium/-66132000soft","true"
1376,"-1200000hard/-35636522medium/-66132000soft","true"
1727,"-1200000hard/-35636222medium/-66132000soft","true"
1938,"-1200000hard/-35634324medium/-66132000soft","true"
1961,"-1200000hard/-35631324medium/-66132000soft","true"
2031,"-1200000hard/-35628324medium/-66132000soft","true"
2366,"-1200000hard/-35628024medium/-66132000soft","true"
2523,"-1200000hard/-35625024medium/-66132000soft","true"
3030,"-1200000hard/-35622024medium/-66132000soft","true"
4359,"-1200000hard/-35621424medium/-66132000soft","true"
4397,"-1200000hard/-35618424medium/-66132000soft","true"
4753,"-1200000hard/-35617524medium/-66132000soft","true"
4759,"-1200000hard/-35614524medium/-66132000soft","true"
5020,"-1200000hard/-35613924medium/-66132000soft","true"
5197,"-1200000hard/-35610924medium/-66132000soft","true"
5971,"-1200000hard/-35610624medium/-66132000soft","true"
7566,"-1200000hard/-35607924medium/-66132000soft","true"
