"timeMillisSpent","score","initialized"
19,"0hard/-72995soft","true"
22,"0hard/-72968soft","true"
40,"0hard/-72931soft","true"
48,"0hard/-72781soft","true"
71,"0hard/-72772soft","true"
76,"0hard/-72741soft","true"
117,"0hard/-72676soft","true"
152,"0hard/-72475soft","true"
177,"0hard/-71783soft","true"
178,"0hard/-71695soft","true"
1281,"0hard/-71619soft","true"
1917,"0hard/-71558soft","true"
2518,"0hard/-71470soft","true"
2699,"0hard/-71469soft","true"
2700,"0hard/-71452soft","true"
3148,"0hard/-71325soft","true"
4373,"0hard/-71310soft","true"
5211,"0hard/-71287soft","true"
7353,"0hard/-71267soft","true"
7865,"0hard/-71236soft","true"
