"timeMillisSpent","score","initialized"
610,"-196854hard/-128096soft","true"
762,"-196743hard/-127954soft","true"
793,"-196672hard/-127863soft","true"
800,"-196613hard/-127788soft","true"
844,"-195118hard/-125877soft","true"
1210,"-195078hard/-125826soft","true"
1253,"-195065hard/-125810soft","true"
1741,"-195061hard/-125805soft","true"
1820,"-194875hard/-125567soft","true"
1926,"-194806hard/-125479soft","true"
2091,"-194704hard/-125348soft","true"
2461,"-194689hard/-125329soft","true"
2679,"-194309hard/-124843soft","true"
3100,"-194237hard/-124751soft","true"
3147,"-194040hard/-124500soft","true"
3634,"-194039hard/-124499soft","true"
3645,"-194008hard/-124459soft","true"
3773,"-193794hard/-124186soft","true"
3827,"-193767hard/-124151soft","true"
4028,"-193761hard/-124143soft","true"
4163,"-193588hard/-123922soft","true"
5102,"-193511hard/-123824soft","true"
6355,"-193446hard/-123741soft","true"
6465,"-193443hard/-123737soft","true"
8025,"-193424hard/-123713soft","true"
9360,"-193310hard/-123567soft","true"
9977,"-193280hard/-123529soft","true"
