"timeMillisSpent","score","initialized"
2350,"-2000000hard/-28648290medium/-53410500soft","true"
2363,"-2000000hard/-28642290medium/-53410500soft","true"
9103,"-2000000hard/-28641512medium/-53412643soft","true"
9117,"-2000000hard/-28638433medium/-53412643soft","true"
9125,"-2000000hard/-28635433medium/-53412643soft","true"
9134,"-2000000hard/-28632433medium/-53412643soft","true"
9140,"-2000000hard/-28630269medium/-53412643soft","true"
9141,"-2000000hard/-28627269medium/-53412643soft","true"
9217,"-2000000hard/-28624269medium/-53412643soft","true"
9224,"-2000000hard/-28623038medium/-53411412soft","true"
9260,"-2000000hard/-28620038medium/-53411412soft","true"
9441,"-2000000hard/-28619965medium/-53411412soft","true"
9581,"-2000000hard/-28616965medium/-53411412soft","true"
9716,"-2000000hard/-28613965medium/-53411412soft","true"
9948,"-2000000hard/-28613057medium/-53410504soft","true"
