"timeMillisSpent","score","initialized"
205,"-207132hard/-119458soft","true"
520,"-207102hard/-119419soft","true"
548,"-207098hard/-119414soft","true"
576,"-207049hard/-119352soft","true"
606,"-207012hard/-119305soft","true"
976,"-206967hard/-119247soft","true"
1255,"-202873hard/-146908soft","true"
1260,"-202754hard/-146756soft","true"
1345,"-202745hard/-146744soft","true"
1367,"-202416hard/-146324soft","true"
1465,"-202377hard/-146274soft","true"
1482,"-202348hard/-146237soft","true"
1494,"-200518hard/-143899soft","true"
1495,"-200432hard/-143789soft","true"
1499,"-200275hard/-143588soft","true"
1522,"-200253hard/-143560soft","true"
1554,"-200197hard/-143488soft","true"
1583,"-198044hard/-140737soft","true"
1597,"-197578hard/-140141soft","true"
1597,"-196403hard/-138640soft","true"
1695,"-196391hard/-138624soft","true"
1723,"-196109hard/-138264soft","true"
1751,"-196060hard/-138201soft","true"
1754,"-195882hard/-137974soft","true"
1792,"-193976hard/-135538soft","true"
1795,"-193931hard/-135481soft","true"
1800,"-193868hard/-135401soft","true"
1811,"-193136hard/-134465soft","true"
1833,"-193112hard/-134435soft","true"
1883,"-191989hard/-133000soft","true"
1892,"-191913hard/-132903soft","true"
1900,"-191895hard/-132880soft","true"
1933,"-191883hard/-132864soft","true"
1975,"-191777hard/-132729soft","true"
1987,"-191772hard/-132722soft","true"
2090,"-191770hard/-132720soft","true"
2112,"-191747hard/-132690soft","true"
2133,"-191321hard/-132146soft","true"
2135,"-191299hard/-132118soft","true"
2184,"-190186hard/-130696soft","true"
2185,"-190175hard/-130682soft","true"
2188,"-190012hard/-130474soft","true"
2282,"-189985hard/-130439soft","true"
2307,"-189744hard/-130131soft","true"
2442,"-189546hard/-129878soft","true"
2452,"-189535hard/-129864soft","true"
2507,"-189531hard/-129858soft","true"
2588,"-189094hard/-129300soft","true"
2595,"-187642hard/-127445soft","true"
2656,"-187526hard/-127297soft","true"
2694,"-187449hard/-127199soft","true"
2727,"-187300hard/-127009soft","true"
2806,"-187046hard/-126684soft","true"
2904,"-186982hard/-126602soft","true"
3171,"-186216hard/-125624soft","true"
3239,"-186086hard/-125458soft","true"
3275,"-186022hard/-125376soft","true"
3340,"-184079hard/-122893soft","true"
3376,"-183601hard/-122282soft","true"
3420,"-183218hard/-121793soft","true"
3444,"-183198hard/-121768soft","true"
3514,"-182414hard/-120766soft","true"
3802,"-182361hard/-120698soft","true"
3884,"-182350hard/-120684soft","true"
4072,"-182262hard/-120571soft","true"
4298,"-182164hard/-120446soft","true"
4383,"-182149hard/-120427soft","true"
4436,"-182085hard/-120345soft","true"
6945,"-182070hard/-120326soft","true"
7942,"-182025hard/-120268soft","true"
