"timeMillisSpent","score","initialized"
68,"-400000hard/-4741medium/-151869soft","true"
70,"-400000hard/-4547medium/-154273soft","true"
72,"-400000hard/-4156medium/-155266soft","true"
72,"-400000hard/-2682medium/-156188soft","true"
73,"-400000hard/-1986medium/-155741soft","true"
73,"-400000hard/-1302medium/-156811soft","true"
76,"-400000hard/-1108medium/-163246soft","true"
77,"-400000hard/-1028medium/-167774soft","true"
77,"-400000hard/-1001medium/-162190soft","true"
77,"-400000hard/-1001medium/-160239soft","true"
78,"-400000hard/-894medium/-158595soft","true"
79,"-400000hard/0medium/-154956soft","true"
79,"-400000hard/0medium/-153281soft","true"
79,"-400000hard/0medium/-151629soft","true"
143,"-400000hard/0medium/-150813soft","true"
319,"-400000hard/0medium/-150447soft","true"
377,"-400000hard/0medium/-148950soft","true"
715,"-400000hard/0medium/-147886soft","true"
1000,"-400000hard/0medium/-147636soft","true"
1204,"-400000hard/0medium/-147390soft","true"
1205,"-400000hard/0medium/-146989soft","true"
1282,"-400000hard/0medium/-146438soft","true"
1319,"-400000hard/0medium/-146365soft","true"
1469,"-400000hard/0medium/-145647soft","true"
1718,"-400000hard/0medium/-145027soft","true"
3462,"-400000hard/0medium/-144738soft","true"
