"timeMillisSpent","score","initialized"
235,"-800000hard/-53770medium/-265332soft","true"
244,"-800000hard/-52732medium/-268150soft","true"
245,"-800000hard/-52653medium/-264330soft","true"
245,"-800000hard/-51863medium/-265145soft","true"
246,"-800000hard/-51722medium/-267509soft","true"
247,"-800000hard/-49854medium/-264052soft","true"
249,"-800000hard/-46400medium/-264539soft","true"
1787,"-800000hard/-45791medium/-263133soft","true"
1788,"-800000hard/-45249medium/-263998soft","true"
4699,"-800000hard/-45057medium/-261676soft","true"
4847,"-800000hard/-45020medium/-263479soft","true"
