"timeMillisSpent","score","initialized"
533,"-1200000hard/-10701382medium/-20512800soft","true"
538,"-1200000hard/-10659382medium/-20512800soft","true"
563,"-1200000hard/-10650382medium/-20512800soft","true"
567,"-1200000hard/-10647382medium/-20512800soft","true"
591,"-1200000hard/-10632382medium/-20512800soft","true"
594,"-1200000hard/-10629382medium/-20512800soft","true"
605,"-1200000hard/-10626382medium/-20512800soft","true"
656,"-1200000hard/-10620382medium/-20512800soft","true"
712,"-1200000hard/-10617382medium/-20512800soft","true"
719,"-1200000hard/-10614382medium/-20512800soft","true"
798,"-1200000hard/-10611382medium/-20512800soft","true"
