"timeMillisSpent","score","initialized"
63,"0hard/-105799soft","true"
358,"0hard/-105301soft","true"
425,"0hard/-105069soft","true"
455,"0hard/-104767soft","true"
482,"0hard/-104587soft","true"
508,"0hard/-104516soft","true"
535,"0hard/-104454soft","true"
1051,"0hard/-104442soft","true"
1134,"0hard/-104436soft","true"
1150,"0hard/-104361soft","true"
1167,"0hard/-104316soft","true"
1185,"0hard/-104305soft","true"
1201,"0hard/-104237soft","true"
1218,"0hard/-104066soft","true"
1234,"0hard/-104023soft","true"
1255,"0hard/-103986soft","true"
1380,"0hard/-103978soft","true"
1394,"0hard/-103949soft","true"
1437,"0hard/-103879soft","true"
1452,"0hard/-103836soft","true"
1470,"0hard/-103813soft","true"
