"timeMillisSpent","score","initialized"
47,"0hard/-101697soft","true"
141,"0hard/-101681soft","true"
467,"0hard/-101660soft","true"
570,"0hard/-101607soft","true"
605,"0hard/-101545soft","true"
639,"0hard/-101540soft","true"
782,"0hard/-101429soft","true"
819,"0hard/-101340soft","true"
849,"0hard/-101253soft","true"
881,"0hard/-101248soft","true"
910,"0hard/-101133soft","true"
4671,"0hard/-101112soft","true"
4790,"0hard/-101093soft","true"
4821,"0hard/-101084soft","true"
4908,"0hard/-100992soft","true"
