"timeMillisSpent","score","initialized"
236,"-400000hard/-4064720medium/-8167500soft","true"
253,"-400000hard/-4043720medium/-8167500soft","true"
258,"-400000hard/-4034720medium/-8167500soft","true"
259,"-400000hard/-3964917medium/-8169697soft","true"
260,"-400000hard/-3958917medium/-8169697soft","true"
270,"-400000hard/-3955917medium/-8169697soft","true"
271,"-400000hard/-3946917medium/-8169697soft","true"
274,"-400000hard/-3943917medium/-8169697soft","true"
276,"-400000hard/-3926401medium/-8170181soft","true"
286,"-400000hard/-3923401medium/-8170181soft","true"
326,"-400000hard/-3920401medium/-8170181soft","true"
332,"-400000hard/-3917401medium/-8170181soft","true"
342,"-400000hard/-3914401medium/-8170181soft","true"
344,"-400000hard/-3908401medium/-8170181soft","true"
345,"-400000hard/-3907917medium/-8169697soft","true"
346,"-400000hard/-3904917medium/-8169697soft","true"
353,"-400000hard/-3901917medium/-8169697soft","true"
355,"-400000hard/-3898917medium/-8169697soft","true"
405,"-400000hard/-3895917medium/-8169697soft","true"
409,"-400000hard/-3892917medium/-8169697soft","true"
466,"-400000hard/-3892864medium/-8169644soft","true"
486,"-400000hard/-3889864medium/-8169644soft","true"
487,"-400000hard/-3878720medium/-8167500soft","true"
531,"-400000hard/-3875720medium/-8167500soft","true"
