"timeMillisSpent","score","initialized"
75,"-197028hard/-113176soft","true"
139,"-196795hard/-112878soft","true"
712,"-196786hard/-112867soft","true"
1975,"-192945hard/-149195soft","true"
1994,"-192501hard/-148628soft","true"
2002,"-187988hard/-142862soft","true"
3010,"-187635hard/-142376soft","true"
3305,"-187539hard/-142287soft","true"
3312,"-186989hard/-141585soft","true"
3584,"-186452hard/-140547soft","true"
3882,"-186286hard/-140334soft","true"
4087,"-186192hard/-140567soft","true"
4110,"-185591hard/-139798soft","true"
4133,"-183978hard/-137737soft","true"
4134,"-182666hard/-136061soft","true"
4134,"-182660hard/-136053soft","true"
5779,"-182653hard/-138825soft","true"
5781,"-182135hard/-138163soft","true"
6020,"-181990hard/-137978soft","true"
6028,"-181658hard/-137554soft","true"
6122,"-181481hard/-137327soft","true"
6122,"-181182hard/-136945soft","true"
6250,"-179750hard/-135115soft","true"
7116,"-178447hard/-130698soft","true"
8192,"-177685hard/-129697soft","true"
9219,"-177528hard/-132480soft","true"
9474,"-177147hard/-131993soft","true"
9508,"-176484hard/-131146soft","true"
9510,"-176481hard/-131142soft","true"
9698,"-175910hard/-130412soft","true"
9701,"-175882hard/-130376soft","true"
