"timeMillisSpent","score","initialized"
760,"-1200000hard/-36135306medium/-66132000soft","true"
763,"-1200000hard/-35964306medium/-66132000soft","true"
874,"-1200000hard/-35959928medium/-66132006soft","true"
889,"-1200000hard/-35910540medium/-66133618soft","true"
958,"-1200000hard/-35895728medium/-66132566soft","true"
965,"-1200000hard/-35895128medium/-66132566soft","true"
966,"-1200000hard/-35880128medium/-66132566soft","true"
976,"-1200000hard/-35851928medium/-66132566soft","true"
1200,"-1200000hard/-35845854medium/-66134108soft","true"
1237,"-1200000hard/-35839144medium/-66133398soft","true"
1237,"-1200000hard/-35836144medium/-66133398soft","true"
1246,"-1200000hard/-35833144medium/-66133398soft","true"
1335,"-1200000hard/-35827779medium/-66134033soft","true"
1447,"-1200000hard/-35807246medium/-66134500soft","true"
1448,"-1200000hard/-35804246medium/-66134500soft","true"
1660,"-1200000hard/-35802419medium/-66132673soft","true"
1663,"-1200000hard/-35784419medium/-66132673soft","true"
1663,"-1200000hard/-35760419medium/-66132673soft","true"
1674,"-1200000hard/-35754419medium/-66132673soft","true"
2103,"-1200000hard/-35751417medium/-66132671soft","true"
2391,"-1200000hard/-35727780medium/-66133634soft","true"
2691,"-1200000hard/-35726960medium/-66135214soft","true"
2975,"-1200000hard/-35726360medium/-66133414soft","true"
3013,"-1200000hard/-35702060medium/-66133414soft","true"
3632,"-1200000hard/-35701919medium/-66132673soft","true"
3638,"-1200000hard/-35700419medium/-66132673soft","true"
3663,"-1200000hard/-35697522medium/-66132776soft","true"
4535,"-1200000hard/-35694513medium/-66135167soft","true"
5473,"-1200000hard/-35693864medium/-66137518soft","true"
5475,"-1200000hard/-35688441medium/-66132095soft","true"
5873,"-1200000hard/-35685646medium/-66132000soft","true"
6044,"-1200000hard/-35672063medium/-66132000soft","true"
6069,"-1200000hard/-35669363medium/-66132000soft","true"
6380,"-1200000hard/-35660582medium/-66132136soft","true"
7165,"-1200000hard/-35656896medium/-66132350soft","true"
7563,"-1200000hard/-35656163medium/-66132000soft","true"
7925,"-1200000hard/-35652089medium/-66132000soft","true"
7957,"-1200000hard/-35649089medium/-66132000soft","true"
8001,"-1200000hard/-35646346medium/-66132000soft","true"
8733,"-1200000hard/-35640646medium/-66132000soft","true"
8895,"-1200000hard/-35629100medium/-66132794soft","true"
9069,"-1200000hard/-35627800medium/-66137494soft","true"
9074,"-1200000hard/-35624800medium/-66137494soft","true"
9077,"-1200000hard/-35621800medium/-66137494soft","true"
