"timeMillisSpent","score","initialized"
82,"-400000hard/-1071238medium/-3098700soft","true"
90,"-400000hard/-1062238medium/-3098700soft","true"
91,"-400000hard/-1059238medium/-3098700soft","true"
7553,"-400000hard/-1056573medium/-3099035soft","true"
7663,"-400000hard/-1056563medium/-3102025soft","true"
7688,"-400000hard/-1056263medium/-3101725soft","true"
7695,"-400000hard/-1055765medium/-3101227soft","true"
7707,"-400000hard/-1055548medium/-3101010soft","true"
7725,"-400000hard/-1054524medium/-3099916soft","true"
8027,"-400000hard/-1053238medium/-3098700soft","true"
8042,"-400000hard/-1050238medium/-3098700soft","true"
