"timeMillisSpent","score","initialized"
23,"0hard/-72995soft","true"
40,"0hard/-72968soft","true"
55,"0hard/-72949soft","true"
75,"0hard/-72738soft","true"
93,"0hard/-71849soft","true"
112,"0hard/-71685soft","true"
134,"0hard/-71594soft","true"
155,"0hard/-71553soft","true"
177,"0hard/-71472soft","true"
229,"0hard/-71440soft","true"
264,"0hard/-71408soft","true"
535,"0hard/-71327soft","true"
574,"0hard/-71306soft","true"
833,"0hard/-71303soft","true"
885,"0hard/-71287soft","true"
909,"0hard/-71266soft","true"
1032,"0hard/-71249soft","true"
1059,"0hard/-71236soft","true"
