"timeMillisSpent","score","initialized"
77,"-400000hard/-4064720medium/-8167500soft","true"
81,"-400000hard/-4034720medium/-8167500soft","true"
1366,"-400000hard/-4014004medium/-8170784soft","true"
1366,"-400000hard/-3983313medium/-8176093soft","true"
1368,"-400000hard/-3975004medium/-8170784soft","true"
1369,"-400000hard/-3948004medium/-8170784soft","true"
1372,"-400000hard/-3944922medium/-8167702soft","true"
1375,"-400000hard/-3926720medium/-8167500soft","true"
1376,"-400000hard/-3905720medium/-8167500soft","true"
1376,"-400000hard/-3903135medium/-8170915soft","true"
1380,"-400000hard/-3900135medium/-8170915soft","true"
1386,"-400000hard/-3897135medium/-8170915soft","true"
1394,"-400000hard/-3896835medium/-8170615soft","true"
1396,"-400000hard/-3893835medium/-8170615soft","true"
1397,"-400000hard/-3893720medium/-8167500soft","true"
