"timeMillisSpent","score","initialized"
17,"0hard/-90204soft","true"
8876,"0hard/-90180soft","true"
8877,"0hard/-90138soft","true"
8886,"0hard/-90125soft","true"
9108,"0hard/-89003soft","true"
9108,"0hard/-88938soft","true"
9108,"0hard/-88865soft","true"
9109,"0hard/-88847soft","true"
9110,"0hard/-88771soft","true"
9111,"0hard/-88638soft","true"
9111,"0hard/-88419soft","true"
9249,"0hard/-87657soft","true"
9250,"0hard/-86368soft","true"
9599,"0hard/-86277soft","true"
9600,"0hard/-86258soft","true"
9752,"0hard/-86112soft","true"
9754,"0hard/-85930soft","true"
9755,"0hard/-85855soft","true"
9757,"0hard/-85851soft","true"
9758,"0hard/-85843soft","true"
9760,"0hard/-85831soft","true"
9762,"0hard/-85827soft","true"
9765,"0hard/-85668soft","true"
9785,"0hard/-85502soft","true"
9795,"0hard/-85295soft","true"
9796,"0hard/-85283soft","true"
9796,"0hard/-85230soft","true"
9798,"0hard/-85209soft","true"
9802,"0hard/-85177soft","true"
9840,"0hard/-85156soft","true"
9844,"0hard/-85101soft","true"
9849,"0hard/-85080soft","true"
9869,"0hard/-85069soft","true"
9873,"0hard/-85066soft","true"
9894,"0hard/-85002soft","true"
9897,"0hard/-84998soft","true"
9966,"0hard/-84970soft","true"
9972,"0hard/-84948soft","true"
9974,"0hard/-84864soft","true"
9975,"0hard/-84839soft","true"
9979,"0hard/-84820soft","true"
9987,"0hard/-84818soft","true"
