"timeMillisSpent","score","initialized"
266,"-800000hard/-4841267medium/-9870300soft","true"
270,"-800000hard/-4832267medium/-9870300soft","true"
274,"-800000hard/-4829267medium/-9870300soft","true"
274,"-800000hard/-4817267medium/-9870300soft","true"
275,"-800000hard/-4799267medium/-9870300soft","true"
290,"-800000hard/-4796267medium/-9870300soft","true"
292,"-800000hard/-4793267medium/-9870300soft","true"
297,"-800000hard/-4787267medium/-9870300soft","true"
369,"-800000hard/-4781267medium/-9870300soft","true"
382,"-800000hard/-4778267medium/-9870300soft","true"
