"timeMillisSpent","score","initialized"
824,"-1200000hard/-35565495medium/-66132000soft","true"
840,"-1200000hard/-35553495medium/-66132000soft","true"
3538,"-1200000hard/-35548056medium/-66135561soft","true"
3545,"-1200000hard/-35542056medium/-66135561soft","true"
3551,"-1200000hard/-35539056medium/-66135561soft","true"
3554,"-1200000hard/-35530056medium/-66135561soft","true"
3555,"-1200000hard/-35527056medium/-66135561soft","true"
3556,"-1200000hard/-35506056medium/-66135561soft","true"
3561,"-1200000hard/-35503056medium/-66135561soft","true"
3580,"-1200000hard/-35491056medium/-66135561soft","true"
3604,"-1200000hard/-35485056medium/-66135561soft","true"
3623,"-1200000hard/-35470056medium/-66135561soft","true"
3682,"-1200000hard/-35466495medium/-66132000soft","true"
3912,"-1200000hard/-35454495medium/-66132000soft","true"
