"timeMillisSpent","score","initialized"
792,"-1200000hard/-36135306medium/-66132000soft","true"
796,"-1200000hard/-35964306medium/-66132000soft","true"
908,"-1200000hard/-35959928medium/-66132006soft","true"
921,"-1200000hard/-35910540medium/-66133618soft","true"
952,"-1200000hard/-35906980medium/-66133618soft","true"
953,"-1200000hard/-35905544medium/-66132182soft","true"
953,"-1200000hard/-35866544medium/-66132182soft","true"
1049,"-1200000hard/-35859003medium/-66139641soft","true"
1077,"-1200000hard/-35837718medium/-66133356soft","true"
1214,"-1200000hard/-35832462medium/-66132000soft","true"
1223,"-1200000hard/-35826162medium/-66132000soft","true"
1286,"-1200000hard/-35819896medium/-66132034soft","true"
1359,"-1200000hard/-35787163medium/-66133201soft","true"
1751,"-1200000hard/-35775880medium/-66133618soft","true"
2443,"-1200000hard/-35774562medium/-66132000soft","true"
2756,"-1200000hard/-35761362medium/-66132000soft","true"
3136,"-1200000hard/-35761062medium/-66132000soft","true"
3172,"-1200000hard/-35758554medium/-66132792soft","true"
3333,"-1200000hard/-35755865medium/-66132803soft","true"
3367,"-1200000hard/-35751792medium/-66135630soft","true"
3385,"-1200000hard/-35747389medium/-66134827soft","true"
3389,"-1200000hard/-35741389medium/-66134827soft","true"
3390,"-1200000hard/-35738389medium/-66134827soft","true"
3744,"-1200000hard/-35735442medium/-66132180soft","true"
3874,"-1200000hard/-35733219medium/-66132657soft","true"
4075,"-1200000hard/-35731936medium/-66132657soft","true"
4083,"-1200000hard/-35728936medium/-66132657soft","true"
4330,"-1200000hard/-35727193medium/-66135631soft","true"
5100,"-1200000hard/-35722922medium/-66132000soft","true"
5627,"-1200000hard/-35722675medium/-66133213soft","true"
5632,"-1200000hard/-35704675medium/-66133213soft","true"
5720,"-1200000hard/-35703664medium/-66132000soft","true"
6416,"-1200000hard/-35703162medium/-66132000soft","true"
6499,"-1200000hard/-35700328medium/-66132766soft","true"
6517,"-1200000hard/-35694328medium/-66132766soft","true"
6634,"-1200000hard/-35688255medium/-66132350soft","true"
6830,"-1200000hard/-35685281medium/-66132000soft","true"
6854,"-1200000hard/-35681765medium/-66133201soft","true"
6856,"-1200000hard/-35675765medium/-66133201soft","true"
7504,"-1200000hard/-35672006medium/-66133201soft","true"
8142,"-1200000hard/-35664454medium/-66133890soft","true"
8226,"-1200000hard/-35662864medium/-66132000soft","true"
8241,"-1200000hard/-35657164medium/-66132000soft","true"
9205,"-1200000hard/-35656181medium/-66132000soft","true"
9224,"-1200000hard/-35652924medium/-66132000soft","true"
9349,"-1200000hard/-35648821medium/-66134916soft","true"
9428,"-1200000hard/-35647680medium/-66133775soft","true"
9484,"-1200000hard/-35635610medium/-66133304soft","true"
