"timeMillisSpent","score","initialized"
74,"-197028hard/-113176soft","true"
146,"-196795hard/-112878soft","true"
516,"-196733hard/-112799soft","true"
580,"-196643hard/-112685soft","true"
620,"-196594hard/-112622soft","true"
1005,"-196564hard/-112583soft","true"
1812,"-194400hard/-151054soft","true"
1818,"-194393hard/-151046soft","true"
1828,"-193392hard/-149767soft","true"
1838,"-193391hard/-149765soft","true"
1839,"-191357hard/-147166soft","true"
1844,"-190599hard/-146198soft","true"
1848,"-190587hard/-146183soft","true"
1859,"-190123hard/-145589soft","true"
1862,"-190117hard/-145582soft","true"
1865,"-190099hard/-145559soft","true"
1870,"-190017hard/-145454soft","true"
1875,"-189341hard/-144590soft","true"
1877,"-186385hard/-140813soft","true"
1900,"-186339hard/-140754soft","true"
1913,"-186304hard/-140709soft","true"
1918,"-186288hard/-140689soft","true"
1930,"-186204hard/-140581soft","true"
1931,"-184616hard/-138552soft","true"
1932,"-184518hard/-138427soft","true"
1942,"-184461hard/-138354soft","true"
1961,"-184096hard/-137888soft","true"
1965,"-183973hard/-137731soft","true"
1972,"-183760hard/-137459soft","true"
1982,"-183752hard/-137449soft","true"
2008,"-181507hard/-134580soft","true"
2012,"-180261hard/-132988soft","true"
2012,"-180251hard/-132975soft","true"
2032,"-179646hard/-132202soft","true"
2037,"-179377hard/-131858soft","true"
2059,"-178327hard/-130517soft","true"
2075,"-178319hard/-130507soft","true"
2095,"-177250hard/-129141soft","true"
2101,"-177097hard/-128945soft","true"
2111,"-176711hard/-128452soft","true"
2126,"-176606hard/-128318soft","true"
2128,"-175960hard/-127492soft","true"
2128,"-175170hard/-126483soft","true"
2130,"-175061hard/-126344soft","true"
2138,"-174644hard/-125811soft","true"
2161,"-174260hard/-125320soft","true"
2173,"-174223hard/-125273soft","true"
2223,"-171265hard/-121493soft","true"
2279,"-171166hard/-121367soft","true"
2294,"-170869hard/-120987soft","true"
2305,"-170763hard/-120852soft","true"
2332,"-170737hard/-120819soft","true"
2336,"-170724hard/-120802soft","true"
2364,"-169827hard/-119656soft","true"
2375,"-167513hard/-116699soft","true"
2434,"-167408hard/-116565soft","true"
2531,"-167036hard/-116090soft","true"
2698,"-167030hard/-116082soft","true"
2769,"-167019hard/-116068soft","true"
3024,"-167009hard/-116055soft","true"
3804,"-166633hard/-115574soft","true"
4089,"-166632hard/-115573soft","true"
6721,"-166619hard/-115556soft","true"
