"timeMillisSpent","score","initialized"
63,"-400000hard/-4064720medium/-8167500soft","true"
65,"-400000hard/-4043720medium/-8167500soft","true"
68,"-400000hard/-4025720medium/-8167500soft","true"
68,"-400000hard/-3977720medium/-8167500soft","true"
69,"-400000hard/-3965720medium/-8167500soft","true"
83,"-400000hard/-3938769medium/-8173549soft","true"
126,"-400000hard/-3927235medium/-8171015soft","true"
153,"-400000hard/-3915258medium/-8174038soft","true"
293,"-400000hard/-3903993medium/-8171773soft","true"
413,"-400000hard/-3902198medium/-8172978soft","true"
422,"-400000hard/-3900045medium/-8170825soft","true"
422,"-400000hard/-3899716medium/-8170496soft","true"
423,"-400000hard/-3896716medium/-8170496soft","true"
471,"-400000hard/-3888954medium/-8174734soft","true"
945,"-400000hard/-3882221medium/-8168001soft","true"
1431,"-400000hard/-3881378medium/-8170158soft","true"
1906,"-400000hard/-3879615medium/-8168395soft","true"
2079,"-400000hard/-3879409medium/-8168189soft","true"
2187,"-400000hard/-3878720medium/-8167500soft","true"
2455,"-400000hard/-3876005medium/-8167785soft","true"
2463,"-400000hard/-3875720medium/-8167500soft","true"
