"timeMillisSpent","score","initialized"
73,"-400000hard/-4064720medium/-8167500soft","true"
75,"-400000hard/-4034720medium/-8167500soft","true"
1038,"-400000hard/-4027514medium/-8169294soft","true"
1038,"-400000hard/-4018514medium/-8169294soft","true"
1040,"-400000hard/-4012514medium/-8169294soft","true"
2003,"-400000hard/-3950720medium/-8167500soft","true"
2004,"-400000hard/-3941720medium/-8167500soft","true"
2005,"-400000hard/-3917720medium/-8167500soft","true"
2007,"-400000hard/-3908720medium/-8167500soft","true"
3357,"-400000hard/-3903913medium/-8171693soft","true"
3357,"-400000hard/-3900913medium/-8171693soft","true"
3541,"-400000hard/-3897409medium/-8168189soft","true"
4157,"-400000hard/-3897290medium/-8168070soft","true"
4169,"-400000hard/-3891290medium/-8168070soft","true"
4173,"-400000hard/-3888290medium/-8168070soft","true"
4174,"-400000hard/-3885290medium/-8168070soft","true"
4182,"-400000hard/-3884720medium/-8167500soft","true"
4192,"-400000hard/-3881720medium/-8167500soft","true"
4493,"-400000hard/-3878720medium/-8167500soft","true"
4533,"-400000hard/-3875720medium/-8167500soft","true"
