"timeMillisSpent","score","initialized"
221,"-800000hard/-84993medium/-312426soft","true"
226,"-800000hard/-81517medium/-307710soft","true"
228,"-800000hard/-79348medium/-313783soft","true"
302,"-800000hard/-79327medium/-319267soft","true"
320,"-800000hard/-79286medium/-322953soft","true"
320,"-800000hard/-78538medium/-318502soft","true"
322,"-800000hard/-78390medium/-324245soft","true"
333,"-800000hard/-76320medium/-321673soft","true"
824,"-800000hard/-75624medium/-320445soft","true"
1616,"-800000hard/-74834medium/-314607soft","true"
3445,"-800000hard/-74466medium/-325135soft","true"
3960,"-800000hard/-74392medium/-311219soft","true"
