"timeMillisSpent","score","initialized"
52,"0hard/-104355soft","true"
9276,"0hard/-104195soft","true"
9280,"0hard/-103955soft","true"
9286,"0hard/-103936soft","true"
9405,"0hard/-103931soft","true"
9418,"0hard/-103751soft","true"
9423,"0hard/-103662soft","true"
9425,"0hard/-103528soft","true"
9498,"0hard/-103441soft","true"
9523,"0hard/-103318soft","true"
9526,"0hard/-103263soft","true"
9549,"0hard/-102976soft","true"
9563,"0hard/-102910soft","true"
9570,"0hard/-102807soft","true"
9741,"0hard/-102768soft","true"
9826,"0hard/-102679soft","true"
9850,"0hard/-102636soft","true"
9924,"0hard/-102609soft","true"
