"timeMillisSpent","score","initialized"
60,"-400000hard/-15139medium/-186748soft","true"
62,"-400000hard/-12753medium/-184780soft","true"
63,"-400000hard/-9576medium/-188504soft","true"
63,"-400000hard/-8991medium/-191021soft","true"
63,"-400000hard/-7978medium/-188046soft","true"
64,"-400000hard/-6390medium/-185218soft","true"
144,"-400000hard/-5924medium/-183220soft","true"
145,"-400000hard/-3980medium/-178414soft","true"
540,"-400000hard/-2177medium/-180672soft","true"
908,"-400000hard/-1986medium/-181016soft","true"
2043,"-400000hard/-1936medium/-186695soft","true"
2053,"-400000hard/-1762medium/-187150soft","true"
2527,"-400000hard/-1374medium/-187789soft","true"
2710,"-400000hard/-399medium/-186208soft","true"
2710,"-400000hard/0medium/-185786soft","true"
4697,"-400000hard/0medium/-181419soft","true"
