"timeMillisSpent","score","initialized"
281,"0hard/-118556soft","true"
322,"0hard/-118424soft","true"
363,"0hard/-118327soft","true"
608,"0hard/-118252soft","true"
5073,"0hard/-117939soft","true"
9373,"0hard/-117694soft","true"
10000,"0hard/-117554soft","true"
