"timeMillisSpent","score","initialized"
149,"0hard/-118748soft","true"
762,"0hard/-118532soft","true"
782,"0hard/-118455soft","true"
801,"0hard/-118353soft","true"
820,"0hard/-118299soft","true"
856,"0hard/-118181soft","true"
2672,"0hard/-118061soft","true"
2736,"0hard/-118003soft","true"
2758,"0hard/-117972soft","true"
2985,"0hard/-117894soft","true"
3004,"0hard/-117819soft","true"
4796,"0hard/-117788soft","true"
4818,"0hard/-117762soft","true"
4840,"0hard/-117739soft","true"
4859,"0hard/-117714soft","true"
7640,"0hard/-117523soft","true"
