"timeMillisSpent","score","initialized"
77,"-197028hard/-113176soft","true"
87,"-196795hard/-112878soft","true"
291,"-196755hard/-112827soft","true"
572,"-189652hard/-140408soft","true"
585,"-189617hard/-140363soft","true"
630,"-189483hard/-140192soft","true"
664,"-189376hard/-140055soft","true"
676,"-189359hard/-140033soft","true"
697,"-187736hard/-137959soft","true"
729,"-186828hard/-136799soft","true"
739,"-186825hard/-136795soft","true"
765,"-186101hard/-135870soft","true"
768,"-181343hard/-129791soft","true"
775,"-180196hard/-128325soft","true"
833,"-180184hard/-128310soft","true"
853,"-180182hard/-128307soft","true"
864,"-180081hard/-128178soft","true"
882,"-178681hard/-126389soft","true"
927,"-178221hard/-125802soft","true"
927,"-178158hard/-125721soft","true"
939,"-177808hard/-125274soft","true"
948,"-177718hard/-125159soft","true"
970,"-176301hard/-123348soft","true"
971,"-173300hard/-119513soft","true"
995,"-172145hard/-118038soft","true"
1057,"-172126hard/-118014soft","true"
1079,"-172018hard/-117876soft","true"
1158,"-171793hard/-117588soft","true"
1341,"-171763hard/-117549soft","true"
1380,"-171365hard/-117041soft","true"
1556,"-171360hard/-117034soft","true"
1560,"-171354hard/-117027soft","true"
1567,"-171314hard/-116976soft","true"
1684,"-171289hard/-116943soft","true"
1719,"-171105hard/-116708soft","true"
1936,"-171001hard/-116576soft","true"
1973,"-170991hard/-116563soft","true"
2634,"-170929hard/-116484soft","true"
5488,"-170906hard/-116455soft","true"
6668,"-170905hard/-116453soft","true"
