"timeMillisSpent","score","initialized"
56,"-400000hard/-8179medium/-185810soft","true"
58,"-400000hard/-7898medium/-186598soft","true"
59,"-400000hard/-7677medium/-178652soft","true"
90,"-400000hard/-7256medium/-190574soft","true"
93,"-400000hard/-6347medium/-180790soft","true"
94,"-400000hard/-6195medium/-185262soft","true"
106,"-400000hard/-5115medium/-190442soft","true"
107,"-400000hard/-4089medium/-192944soft","true"
118,"-400000hard/-3990medium/-179735soft","true"
123,"-400000hard/-3624medium/-178146soft","true"
124,"-400000hard/-2722medium/-182420soft","true"
163,"-400000hard/-2236medium/-185034soft","true"
342,"-400000hard/-1259medium/-185651soft","true"
347,"-400000hard/-1121medium/-184228soft","true"
439,"-400000hard/-1050medium/-185192soft","true"
478,"-400000hard/-843medium/-184278soft","true"
755,"-400000hard/0medium/-182377soft","true"
811,"-400000hard/0medium/-180259soft","true"
3218,"-400000hard/0medium/-179616soft","true"
3297,"-400000hard/0medium/-173403soft","true"
