"timeMillisSpent","score","initialized"
131,"0hard/-110504soft","true"
421,"0hard/-110490soft","true"
497,"0hard/-110449soft","true"
536,"0hard/-110419soft","true"
612,"0hard/-110408soft","true"
693,"0hard/-110309soft","true"
819,"0hard/-110236soft","true"
861,"0hard/-110177soft","true"
1190,"0hard/-110171soft","true"
1234,"0hard/-109984soft","true"
1286,"0hard/-109968soft","true"
1340,"0hard/-109930soft","true"
1440,"0hard/-109689soft","true"
1487,"0hard/-109484soft","true"
1679,"0hard/-109454soft","true"
1726,"0hard/-109397soft","true"
1769,"0hard/-109356soft","true"
1811,"0hard/-109348soft","true"
7306,"0hard/-109292soft","true"
