"timeMillisSpent","score","initialized"
636,"-196854hard/-128096soft","true"
708,"-196743hard/-127954soft","true"
951,"-195248hard/-126043soft","true"
1057,"-195189hard/-125968soft","true"
1069,"-195149hard/-125917soft","true"
1326,"-195127hard/-125889soft","true"
1510,"-194966hard/-125683soft","true"
1529,"-194864hard/-125552soft","true"
1636,"-194852hard/-125537soft","true"
1652,"-194712hard/-125358soft","true"
2061,"-194699hard/-125341soft","true"
2166,"-194634hard/-125258soft","true"
2179,"-194633hard/-125257soft","true"
2323,"-194537hard/-125135soft","true"
2523,"-194510hard/-125100soft","true"
2602,"-194506hard/-125096soft","true"
2735,"-194488hard/-125073soft","true"
3087,"-194460hard/-125037soft","true"
3852,"-194406hard/-124968soft","true"
4108,"-193798hard/-124191soft","true"
4560,"-193779hard/-124167soft","true"
4955,"-193776hard/-124163soft","true"
5016,"-193756hard/-124137soft","true"
5088,"-193583hard/-123916soft","true"
5494,"-193412hard/-123698soft","true"
6551,"-193298hard/-123552soft","true"
7574,"-193292hard/-123544soft","true"
