"timeMillisSpent","score","initialized"
92,"-400000hard/-1071238medium/-3098700soft","true"
100,"-400000hard/-1065238medium/-3098700soft","true"
145,"-400000hard/-1061420medium/-3100882soft","true"
173,"-400000hard/-1059272medium/-3098734soft","true"
280,"-400000hard/-1058500medium/-3100962soft","true"
323,"-400000hard/-1057779medium/-3100241soft","true"
376,"-400000hard/-1057602medium/-3100064soft","true"
385,"-400000hard/-1056789medium/-3099251soft","true"
439,"-400000hard/-1053926medium/-3099388soft","true"
596,"-400000hard/-1052449medium/-3100911soft","true"
1136,"-400000hard/-1050679medium/-3099141soft","true"
1487,"-400000hard/-1050388medium/-3098850soft","true"
9383,"-400000hard/-1050238medium/-3098700soft","true"
